Family,Unit #,Region,Route #,Route Name,Flyer Ct.,Route Description
,,OAKLAND,3-13,NORTON AVE. #1,100,NORTON AVE. (from TREMONT ST. to NICKERSON FARMS) - All // LORI LN. – All // JOANNE DR. – All // ROBIN DR. – All // NICKERSON WAY – All // DEVON ST. – All // GUERNSEY AVE. – All // TWIN BROOK LN. – All 
,,OAKLAND,3-14,NORTON AVE. #2,135,NORTON AVE. (from NICKERSON WAY to PINECREST DR.) – All // WILLIS POND RD. - All // MALIBU DR. - All // FERNCREST DR. – All // RIVER PINES DR. - All // EVERGREEN DR. – All // PINECREST DR. – All // ROSEWOOD DR. – All // PRINCESS PINE CIR. – All // CREEPING JENNY LN. – All 
,,OAKLAND,3-15,NORTON AVE. #3,75,NORTON AVE. (from PINECREST to CODDING DR.) – All // ICEHOUSE RD. – All // HERESFORD HILL RD. – All // CHECKERBERRY LANE – All // HARVESTWOOD DR. – All // CODDING DR. – All 
,,OAKLAND,3-16,SHORES ST. #1,150,SHORES ST. (from TREMONT to CLIFFORD STS.) – All // SHORES AVE. – All // GUSHEE LANE – All // BLISS ST. – All // CHASE ST. – All // CLIFFORD ST. (from SHORES ST. to KILMER AVE ) – All // KILMER AVE (from BLISS ST. to END) – ODD #s
,,OAKLAND,3-17,SHORES ST #2,90,SHORES ST. (from ANAWAN ST. to END) – All // RON CIR. – All // DAVIS ST. – All // ASHCROFT ST. – All 
,,OAKLAND,3-18,WORCESTER ST NORTON RD.,175,ROUTE 140 (from DUNKIN DONUTS to NORTON AVE.) – All // SOLITUDE DR. - All // BROOKVIEW CIR. – All // INDIAN TRAIL – All // FEATHER RUN – All // FERNWOOD AVE. – All // WARRIOR RD. – All // WHITE PINE DR. – All // SHAGBARK RD. – All // RANKIN RD. - All // MELLO DR. \- All 
,,OAKLAND,3-19,HODGES ST.,90,HODGES ST. (from COLONY LN. to SAO PAULO DR.) - All // COVE RD. - All // GEORGE DR. - All // CANNEY DR. - All // DANIEL DR. - All // HERITAGE WAY - All // SAO PAULO DR. - All 
,,OAKLAND,3-20,WORCESTER ST. #1,90,WORCESTER ST. (from DUNKIN DONUTS to HODGES ST.) - All // HODGES ST. (from WORCESTER ST. to COLONY LN.) - All // MARJORIE WAY - All // MARIA LN. – All // KIANA LN. - All // COLONY LANE - All // PILGRIM RD. - All 
,,OAKLAND,3-21,WORCESTER ST. #2,100,WORCESTER ST. (from HODGES ST. to the NORTON LINE) - All // MEADOWBROOK LANE - All // FOXHILL DR. - All // KENDRA LN. - All // WESTERIA LN. – All // BROPHY DR. - All 
,,OAKLAND,3-22,SO. CRANE AVE.,140,SO. CRANE AVE. (from NORTON AVE. to HARVEY ST.) - All // MISTY LN. - All // ROAN DR. - All // BUNNY HOP WAY - All // BLUEBERRY LANE - All // PONDVIEW CIR. - All 
,,OAKLAND,3-23,FLINTLOCK RD.,110,FLINTLOCK RD. - All // PHEASANT RUN - All // POWDERHORN DR. - All // FORGE RD. - All 
,,OAKLAND,3-24,FREMONT ST. #1,115,FREMONT ST. (from CRAPO to DUNBAR STS.) - All // GRAND AVE. - All // EDWARDS AVE. - All // DUNBAR ST. - All 
,,OAKLAND,3-25,FREMONT ST. #2,140,FREMONT ST. (from DUNBAR to BASSETT STS.) - All // PAULA DR. - All // PARTRIDGE CIR. - All // QUAIL RUN - All // JESSE LN. - All 
,,OAKLAND,3-26,DANFORTH ST. #1,125,DANFORTH ST. (from TREMONT to DANA STS.) - All // TREMONT ST. (from DANFORTH to FREMONT STS.) - ODD #s // FREMONT ST. (from TREMONT to CRAPO STS.) - All // CRAPO ST. - All // MAXWELL ST. - All // PINCKNEY ST. - All // GROSVENOR ST. - All // PERRY AVE. - All 
,,OAKLAND,3-27,DANFORTH ST. #2,200,DANFORTH ST. (from DANA ST. to HOPEWELL ST.) - All // CLARK AVE. - ALL SILVER GLEN CONDOMINIUMS - All // CHESTER ST. - All // CHESTER AVE. - All // CHESTER CT. - All // JOSEPH ST. - All // HOLYOKE ST. - All // LYNN ST. - All // BARTON ST. - All 
,,OAKLAND,3-28,HARVEY ST.,145,HARVEY ST. (from NORTON AVE. to S. CRANE AVE.) - All // S. CRANE AVE (from HARVEY ST. to INDUSTRIAL PARK) - All // BEAUFORD CT. - All // CRANE’ S LANDING - All // LIBBY LN. – All // BRANDY LN. - All 
,,OAKLAND,3-29,OAK ST. #1,210,OAK ST. (from RR TRACKS to KILTON ST.) - ODD #s // MAPLE ST. - All // GRANITE ST. (from RR TRACKS to PINE ST.) - All // PINE ST. - All // KILTON ST. - All // KILTON PL. - All 
,,OAKLAND,3-30,OAK ST. #2,100,OAK ST. (from KILMER AVE. to OAK AVE.) - ODD #s // HERN AVE. - All // OAK AVE. - All // WOODBINE ST. - All // BELVOIR AVE. - All // VINSON ST. - All // GREYLOCK AVE. - All // GREENHILL ST. - All 
,,OAKLAND,3-31,OAK ST. #3,60,OAK ST. (from WALES to HIGHLAND STS.) - EVEN #s // OAK ST. (from OAK AVE. to HIGHLAND ST.) - ODD #s // MINERAL ST. - All 
,,OAKLAND,3-32,KILMER AVE. #1,85,OAK ST. (from KILTON ST. to KILMER AVE.)  - ODD #s // KILMER AVE. (from OAK to BLISS STS.) - ODD #s // LOWELL ST. - All // SHERIDAN ST. - All // FRIEND ST. - All 
,,OAKLAND,3-33,KILMER AVE. #2,65,KILMER AVE. (from OAK ST. to HIGHLAND AVE.) - EVEN #s // HIGHLAND AVE. - All // FOSS AVE. - All // WILSON ST. - All // FLOYD AVE. - All // SMITH AVE. - All 
,,OAKLAND,3-34,BRUSHWOOD DR.,80,BRUSHWOOD DR. - All // WINTERGREEN LANE - All // WILDFLOWER RD. - All // LACEY RD. - All // JUNIPER LANE - All // THUNDER RD. - All // ROUTES BEGIN AND END. ALL MEANS BOTH SIDES OF STREET.  THIS IS TO AVOID
,,OAKLAND,3-35,TREMONT ST.,65,TREMONT ST. (from ROUND ST. to the REHOBOTH LINE) - All // PRESERVATION DR. - All // SILVER FOX CIR. \- All // BLUEGRASS LN. - All 
,,WHITTENTON,4-1,COLONIAL ESTATES,150,MEETING HOUSE RD. - All // VALLEY FORGE RD. - All // JOHN ALDEN RD. - All // MINUTEMAN RD. - All // WAMPANOAG RD. - All // PURITAN RD. - All // MUSKET RD. - All // BETSY ROSS RD. - All // PATRIOT RD. - All // SETTLERS RD. - All 
,,WHITTENTON,4-2,WILLOW TERRACE,160,WILLOW TERRACE - All // ABBEY LN. - All // OAK DR. - All // LISA DR. - All // WAVERLY ST. - All // MARCOTTE ST. - All // RUSSELL ST. - All // WASHINGTON ST. (from GARFIELD to BAY STS.) - All 
,,WHITTENTON,4-3,OAK HILL MOBILE PARK,235,LOTHROP ST. (MOBILE HOMES - OAK HILL SIDE) - ODD #s // MAYFLOWER AVE. - All // HICKORY RD. - All // DAISY AVE. - All // ACORN DR. - All // ASH ST. - All // BEECH ST. - All // HOLLY RD. - All // HEMLOCK RD. - All // CYPRESS RD. - All 
,,WHITTENTON,4-4,W. BRITANNIA ST. #1,165,W. BRITANNIA ST. (from BAY to HOPEWELL STS.) - All // PARKIN AVE - All // KING ST. - All // LAWRENCE ST. - All // STATE ST. (from LAWRENCE to BAY STS.) - All // MATTESON LANE - All 
